
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    0.999999    1.127007    1.685666  3.34e-06  0.00e+00
    1.099999    1.107606    1.700355  2.86e-06  0.00e+00
    1.199999    1.086818    1.712320  2.86e-06  1.19e-07
    1.299999    1.064775    1.721499  2.38e-06  1.19e-07
    1.399999    1.041623    1.727845  2.15e-06  0.00e+00
    1.500000    1.017529    1.731328  1.67e-06  0.00e+00
    1.600000    0.992672    1.731928  1.31e-06  0.00e+00
    1.700000    0.967252    1.729643  8.94e-07  0.00e+00
    1.800000    0.941487    1.724485  4.77e-07  1.19e-07
    1.900000    0.915618    1.716479  9.54e-07  0.00e+00
    2.000000    0.889906    1.705666  2.92e-06  1.19e-07
    2.100000    0.864629    1.692102  3.64e-06  0.00e+00
    2.200000    0.840094    1.675857  4.59e-06  3.58e-07
    2.299999    0.816621    1.657017  5.13e-06  2.38e-07
    2.399999    0.794550    1.635684  4.35e-06  2.38e-07
    2.499999    0.774232    1.611978  4.23e-06  2.38e-07
    2.599999    0.756017    1.586033  3.52e-06  3.58e-07
    2.699999    0.740250    1.558005  3.52e-06  1.19e-07
    2.799999    0.727251    1.528067  3.46e-06  1.19e-07
    2.899999    0.717304    1.496413  3.16e-06  0.00e+00
    2.999999    0.710639    1.463257  2.98e-06  1.19e-07
    3.099999    0.707415    1.428839  2.74e-06  1.19e-07
    3.199999    0.707712    1.393423  2.68e-06  0.00e+00
    3.299999    0.711522    1.357297  2.56e-06  3.58e-07
    3.399998    0.718752    1.320780  2.56e-06  0.00e+00
    3.499998    0.729229    1.284219  2.44e-06  2.38e-07
    3.599998    0.742714    1.247991  2.26e-06  1.19e-07
    3.699998    0.758916    1.212503  2.21e-06  3.58e-07
    3.799998    0.777508    1.178195  1.91e-06  4.77e-07
    3.899998    0.798145    1.145528  1.61e-06  4.77e-07
    3.999998    0.820475    1.114988  1.31e-06  4.77e-07
    4.099998    0.844150    1.087071  1.01e-06  0.00e+00
    4.199998    0.868832    1.062274  6.56e-07  1.19e-07
    4.299998    0.894204    1.041074  2.98e-07  0.00e+00
    4.399998    0.919964    1.023913  3.58e-07  0.00e+00
    4.499998    0.945833    1.011173  5.96e-07  1.19e-07
    4.599998    0.971555    1.003150  2.21e-06  4.77e-07
    4.699997    0.996894    1.000039  3.76e-06  4.77e-07
    4.799997    1.021636    1.001916  4.41e-06  3.58e-07
    4.899997    1.045584    1.008736  4.41e-06  3.58e-07
    4.999997    1.068560    1.020331  4.77e-06  4.77e-07
    5.099997    1.090403    1.036429  4.41e-06  3.58e-07
    5.199997    1.110967    1.056667  4.53e-06  5.96e-07
    5.299997    1.130122    1.080616  4.65e-06  2.38e-07
    5.399997    1.147752    1.107806  4.29e-06  4.77e-07
    5.499997    1.163754    1.137743  4.65e-06  4.77e-07
    5.599997    1.178037    1.169928  4.29e-06  1.19e-07
    5.699996    1.190523    1.203874  4.77e-06  4.77e-07
    5.799996    1.201145    1.239111  4.29e-06  3.58e-07
    5.899996    1.209846    1.275194  5.01e-06  3.58e-07
    5.999996    1.216583    1.311709  4.41e-06  2.38e-07
    6.099996    1.221320    1.348271  4.77e-06  3.58e-07
    6.199996    1.224034    1.384524  4.29e-06  3.58e-07
    6.299996    1.224711    1.420145  4.89e-06  3.58e-07
    6.399996    1.223349    1.454835  4.17e-06  3.58e-07
    6.499996    1.219952    1.488327  4.65e-06  3.58e-07
    6.599996    1.214540    1.520374  4.17e-06  3.58e-07
    6.699996    1.207138    1.550757  4.53e-06  4.77e-07
    6.799995    1.197786    1.579275  3.93e-06  2.38e-07
    6.899995    1.186530    1.605751  4.17e-06  2.38e-07
    6.999995    1.173433    1.630026  3.58e-06  2.38e-07
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 158 (attempted = 161)
   Total number of error test failures = 3
   Total RHS evals:  Fe = 647,  Fi = 0
   Total mass matrix setups = 486
   Total mass matrix solves = 647
   Total mass times evals = 158
   Errors: u = 3.56479e-06, v = 3.02754e-07, total = 2.52976e-06
